filter_no,mid_interval_days,big_interval_days,failure_date,life_days,life_years,future_mid_count,future_big_count,purchase_cost,maintenance_cost,total_cycle_cost,annual_cost,status
A7,105,120,2027-12-15,614,1.6821917808219178,7,6,300.0,93.0,393.0,233.62377850162866,failed_within_horizon
A7,105,150,2027-10-01,539,1.4767123287671233,6,5,300.0,78.0,378.0,255.97402597402598,failed_within_horizon
A7,105,180,2027-09-01,509,1.3945205479452054,6,4,300.0,66.0,366.0,262.45579567779964,failed_within_horizon
A7,105,240,2027-09-01,509,1.3945205479452054,5,2,300.0,39.0,339.0,243.0943025540275,failed_within_horizon
A7,105,300,2027-09-01,509,1.3945205479452054,5,1,300.0,27.0,327.0,234.48919449901769,failed_within_horizon
A7,105,365,2027-09-01,509,1.3945205479452054,5,1,300.0,27.0,327.0,234.48919449901769,failed_within_horizon
A7,120,90,2028-10-25,929,2.5452054794520547,7,11,300.0,153.0,453.0,177.9817007534984,failed_within_horizon
A7,120,120,2027-11-15,584,1.6,5,5,300.0,75.0,375.0,234.375,failed_within_horizon
A7,120,150,2027-11-15,584,1.6,5,4,300.0,63.0,363.0,226.875,failed_within_horizon
A7,120,180,2027-11-15,584,1.6,5,3,300.0,51.0,351.0,219.375,failed_within_horizon
A7,120,240,2027-11-15,584,1.6,5,2,300.0,39.0,339.0,211.875,failed_within_horizon
A7,120,300,2027-11-15,584,1.6,5,2,300.0,39.0,339.0,211.875,failed_within_horizon
A7,120,365,2027-11-15,584,1.6,5,1,300.0,27.0,327.0,204.375,failed_within_horizon
A7,150,90,2027-11-15,584,1.6,4,7,300.0,96.0,396.0,247.5,failed_within_horizon
A7,150,120,2027-11-15,584,1.6,4,5,300.0,72.0,372.0,232.5,failed_within_horizon
A7,150,150,2027-11-15,584,1.6,4,4,300.0,60.0,360.0,225.0,failed_within_horizon
A7,150,180,2027-11-15,584,1.6,4,3,300.0,48.0,348.0,217.5,failed_within_horizon
A7,150,240,2027-11-15,584,1.6,4,2,300.0,36.0,336.0,210.0,failed_within_horizon
A7,150,300,2027-11-15,584,1.6,4,2,300.0,36.0,336.0,210.0,failed_within_horizon
A7,150,365,2027-11-15,584,1.6,4,1,300.0,24.0,324.0,202.5,failed_within_horizon
A8,30,90,2028-08-17,860,2.356164383561644,29,9,300.0,195.0,495.0,210.08720930232556,failed_within_horizon
A8,30,120,2028-05-19,770,2.1095890410958904,26,6,300.0,150.0,450.0,213.3116883116883,failed_within_horizon
A8,30,150,2028-04-19,740,2.0273972602739727,25,4,300.0,123.0,423.0,208.64189189189187,failed_within_horizon
A8,30,180,2028-03-20,710,1.9452054794520548,24,3,300.0,108.0,408.0,209.74647887323943,failed_within_horizon
A8,30,240,2028-01-20,650,1.7808219178082192,22,2,300.0,90.0,390.0,219.0,failed_within_horizon
A8,30,300,2028-01-20,650,1.7808219178082192,22,2,300.0,90.0,390.0,219.0,failed_within_horizon
A8,30,365,2027-12-21,620,1.6986301369863013,21,1,300.0,75.0,375.0,220.76612903225808,failed_within_horizon
A8,45,90,2027-11-06,575,1.5753424657534247,13,6,300.0,111.0,411.0,260.89565217391305,failed_within_horizon
A8,45,120,2027-09-22,530,1.452054794520548,12,4,300.0,84.0,384.0,264.45283018867923,failed_within_horizon
A8,45,150,2027-08-08,485,1.3287671232876712,11,3,300.0,69.0,369.0,277.70103092783506,failed_within_horizon
A8,45,180,2027-06-24,440,1.2054794520547945,10,2,300.0,54.0,354.0,293.65909090909093,failed_within_horizon
A8,45,240,2027-09-22,530,1.452054794520548,12,2,300.0,60.0,360.0,247.9245283018868,failed_within_horizon
A8,45,300,2027-08-08,485,1.3287671232876712,11,1,300.0,45.0,345.0,259.63917525773195,failed_within_horizon
A8,45,365,2027-06-24,440,1.2054794520547945,10,1,300.0,42.0,342.0,283.7045454545455,failed_within_horizon
A8,60,90,2027-07-24,470,1.2876712328767124,8,5,300.0,84.0,384.0,298.2127659574468,failed_within_horizon
A8,60,120,2027-07-24,470,1.2876712328767124,8,3,300.0,60.0,360.0,279.5744680851064,failed_within_horizon
A8,60,150,2027-07-24,470,1.2876712328767124,8,3,300.0,60.0,360.0,279.5744680851064,failed_within_horizon
A8,60,180,2027-07-24,470,1.2876712328767124,8,2,300.0,48.0,348.0,270.25531914893617,failed_within_horizon
A8,60,240,2027-07-24,470,1.2876712328767124,8,1,300.0,36.0,336.0,260.93617021276594,failed_within_horizon
A8,60,300,2027-07-24,470,1.2876712328767124,8,1,300.0,36.0,336.0,260.93617021276594,failed_within_horizon
A8,60,365,2027-07-24,470,1.2876712328767124,8,1,300.0,36.0,336.0,260.93617021276594,failed_within_horizon
A8,75,90,2027-09-07,515,1.4109589041095891,7,5,300.0,81.0,381.0,270.02912621359224,failed_within_horizon
A8,75,120,2027-09-07,515,1.4109589041095891,7,4,300.0,69.0,369.0,261.5242718446602,failed_within_horizon
A8,75,150,2027-09-07,515,1.4109589041095891,7,3,300.0,57.0,357.0,253.01941747572815,failed_within_horizon
A8,75,180,2027-09-07,515,1.4109589041095891,7,2,300.0,45.0,345.0,244.5145631067961,failed_within_horizon
